"연번","어린이집명","어린이집유형","주소","정원","현원"
"1763","부영안데르센어린이집","가정","경상남도 김해시 능동로 117 404동 103호(부곡동, 석봉마을부영4단지아파트)","18","15"
"1764","우남어린이집","가정","경기도 양주시 장흥면 가마골로 40-8 102동 108호(부곡리, 송추마을우남아파트)","20","19"
"1765","아이친구어린이집","가정","인천광역시 서구 검단로 836 (불로동, 월드아파트) 122동 101호","19","15"
"1766","예닮 생각나무어린이집","가정","경기도 성남시 수정구 태평로 28 102동 103호(태평동, 동부센트레빌아파트)","19","19"
"1767","아기천사어린이집","가정","경기도 오산시 경기대로25번길 16 101동 103호(갈곶동, 동부)","9","5"
"1768","작은숲어린이집","가정","경기도 고양시 일산동구 소개울3길 36 작은숲어린이집","20","20"
"1769","솔빛어린이집","가정","경기도 용인시 기흥구 한보라1로 91 606동 104호(보라동, 한보라마을휴먼시아6단지아파트)","20","20"
"1770","숲속나라어린이집","가정","강원도 춘천시 안마산로 214 207동 103호(퇴계동, 퇴계금호타운2차아파트)","19","19"
"1771","키즈스토리어린이집","민간","인천광역시 서구 크리스탈로74번길 26 더샵레이크파크아파트 관리동","58","58"
"1772","예람어린이집","가정","경상남도 창원시 마산회원구 내서읍 호계본동로 18 209동 101호(호계리, 코오롱하늘채아파트)","20","18"
"1773","월드림어린이집","법인·단체등","부산광역시 연제구 연수로208번길 6 (연산동)","68","65"
"1774","꿈나무어린이집","민간","강원도 화천군 화천읍 산수화로4길 11-9","68","60"
"1775","꼬마대통령어린이집","가정","인천광역시 서구 서곶로 816 103동 101호(당하동, 탑스빌영남아파트)","20","20"
"1776","논짓물어린이집","가정","제주특별자치도 서귀포시 하예로 52 (하예동)","19","19"
"1777","숲속어린이집","민간","경기도 의왕시 왕곡로 218","149","138"
"1778","광교아이꿈어린이집","민간","경기도 수원시 영통구 웰빙타운로 50 관리동(이의동, 광교2차 e편한세상)","27","23"
"1779","포그니어린이집","가정","인천광역시 남구 한나루로357번길 87-18 102동 104호(학익동, 정광아파트)","19","18"
"1780","생각키우기어린이집","가정","대구광역시 북구 칠곡중앙대로53길 32 102동 105호(태전동, 한일아파트)","19","19"
"1781","민들레어린이집","가정","부산광역시 사하구 다대낙조2길 100 211-103(다대동, 다대동롯데캐슬몰운대아파트)","19","19"
"1782","나라어린이집","민간","경상남도 거창군 거창읍 거열로8길 70","152","148"
"1783","꿈별어린이집","가정","경기도 화성시 효행로 1075-10 1104동 106호","20","20"
"1784","하안수정어린이집","가정","경기도 광명시 안현로 35 202동 106호(하안동, 하안주공2단지아파트)","15","15"
"1785","예쁜파랑새어린이집","가정","충청북도 청주시 상당구 용암로 35 102동 101호 (용암동 임광아파트)","20","20"
"1786","아이짱어린이집","가정","대구광역시 달성군 다사읍 대실역남로 93 207/105. 죽곡청아람 2단지","20","20"
"1787","선고운아이어린이집","민간","경상남도 진주시 신안들말길 47 (신안동)","27","27"
"1788","평강어린이집","민간","경기도 양평군 양평읍 공산이길 12-4 평강어린이집","98","85"
"1789","오륙도어린이집","국공립","부산광역시 남구 용호로216번길 32-16","86","83"
"1790","통키어린이집","가정","전라남도 여수시 여서동7길 8 (여서동)","20","20"
"1791","방글방글어린이집","가정","전라북도 김제시 금성8길 45-12","20","11"
"1792","똘똘이어린이집","가정","대전광역시 서구 둔산남로 30 104동 107호 (둔산동, 녹원아파트)","20","11"
"1793","솜사탕어린이집","가정","전라북도 익산시 무왕로26길 32 102동 104호(부송동, 동아아파트)","19","19"
"1794","아이랜드어린이집","민간","충청남도 서산시 대산읍 영전2길 1 (대산읍 영탑리 260-2)","99","82"
"1795","해피아이어린이집","가정","전라남도 무안군 삼향읍 남악5로72번길 7 부영애시앙 101동 101호","20","20"
"1796","초록어린이집","민간","부산광역시 사하구 장평로443번길 42 10통1반 (괴정동)","98","98"
"1797","영문어린이집","가정","경기도 광명시 광명로 815 (광명동)","12","12"
"1798","아진어린이집","민간","부산광역시 사상구 백양대로342번길 16 엘지신주례아파트 1단지내","128","108"
"1799","엔젤어린이집","민간","전라북도 남원시 금하정1길 28-24","39","37"
"1800","피노키오어린이집","민간","광주광역시 서구 상무버들로40번길 14 버들마을주공 1단지 관리동 (유촌동)","28","25"
"1801","앙팡24시어린이집","민간","제주특별자치도 제주시 용담로13길 18 (용담이동)","39","38"
"1802","한아름어린이집","가정","경기도 남양주시 오남읍 진건오남로884번길 22-48  성호아파트 102동101호","19","19"
"1803","성내다솔어린이집","민간","서울특별시 강동구 풍성로54길 38 424-10호2층(성내동 424)","25","24"
"1804","예원어린이집","가정","울산광역시 북구 매곡1로 17 202동 101호(매곡동, 매곡푸르지오2단지아파트)","19","16"
"1805","기린어린이집","가정","강원도 원주시 남원로 492 103동 104호(단구동, 구곡현대1차아파트)","16","16"
"1806","새싹어린이집","사회복지법인","전라북도 군산시 축동로 10 (수송동)","150","138"
"1807","엔젤어린이집","민간","제주특별자치도 제주시 조천읍 신촌남8길 84-8 (조천읍 신촌리)","36","22"
"1808","엄마품어린이집","가정","서울특별시 노원구 덕릉로94가길 20 202동 103호(상계동, 청암아파트)","13","11"
"1809","현대하나어린이집","가정","서울특별시 노원구 덕릉로122길 12-6 104동 101호(상계동, 불암현대아파트)","20","19"
"1810","스위첸어린이집","민간","제주특별자치도 제주시 아란9길 22 제주아라KCC 스위첸아파트 106동 키즈클럽","39","37"
"1811","햇님달님어린이집","가정","서울특별시 노원구 덕릉로122길 12-6 104동 108호(상계동, 불암현대아파트)","20","20"
"1812","오치카리타스어린이집","국공립","광주광역시 북구 서하로194번길 6","70","45"
"1813","고운어린이집","민간","광주광역시 북구 삼정로 7 두암주공아파트 관리동내 (두암동)","74","50"
"1814","한마음어린이집","국공립","부산광역시 서구 망양로193번길 104 서구종합사회복지관 내 한마음어린이집 (동대신동1가)","65","57"
"1815","꽃별어린이집","민간","충청북도 청주시 서원구 분평로 88-1 주공5차아파트 관리동내 (분평동)","31","27"
"1816","새봄어린이집","가정","강원도 원주시 포란재로 36 116동 101호(태장동,금광포란재아파트)","19","19"
"1817","현대어린이집","가정","충청남도 서산시 호수공원6로 19 읍내동 현대아파트 106동102호","20","19"
